class,TLOC, TASSERT
./src/test/java/org/jfree/chart/annotations/XYImageAnnotationTest.java,3,10
./src/test/java/org/jfree/chart/title/ImageTitleTest.java,6,16
./src/test/java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGeneratorTest.java,14,2
./src/test/java/org/jfree/chart/imagemap/StandardURLTagFragmentGeneratorTest.java,15,3
./src/test/java/org/jfree/chart/text/format/HMSNumberFormatTest.java,15,6
./src/test/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGeneratorTest.java,16,2
./src/test/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGeneratorTest.java,16,2
./src/test/java/org/jfree/chart/internal/ArgsTest.java,16,2
./src/test/java/org/jfree/chart/internal/HashUtilsTest.java,16,2
./src/test/java/org/jfree/chart/labels/ItemLabelAnchorTest.java,17,3
./src/test/java/org/jfree/chart/labels/ItemLabelPositionTest.java,18,2
./src/test/java/org/jfree/data/time/TimePeriodAnchorTest.java,18,4
./src/test/java/org/jfree/chart/axis/StandardTickUnitSourceTest.java,19,2
./src/test/java/org/jfree/chart/urls/StandardXYURLGeneratorTest.java,19,2
./src/test/java/org/jfree/chart/labels/StandardFlowLabelGeneratorTest.java,20,3
./src/test/java/org/jfree/chart/plot/PlotOrientationTest.java,21,6
./src/test/java/org/jfree/chart/renderer/AreaRendererEndTypeTest.java,21,5
./src/test/java/org/jfree/chart/MeterChartTest.java,22,1
./src/test/java/org/jfree/data/statistics/BoxAndWhiskerItemTest.java,24,3
./src/test/java/org/jfree/data/xy/OHLCDataItemTest.java,27,4
./src/test/java/org/jfree/chart/axis/DateTickUnitTest.java,28,4
./src/test/java/org/jfree/chart/plot/compass/LineNeedleTest.java,28,6
./src/test/java/org/jfree/chart/plot/compass/LongNeedleTest.java,28,6
./src/test/java/org/jfree/chart/plot/compass/MiddlePinNeedleTest.java,28,6
./src/test/java/org/jfree/chart/plot/compass/PinNeedleTest.java,28,6
./src/test/java/org/jfree/chart/plot/compass/PlumNeedleTest.java,28,6
./src/test/java/org/jfree/chart/plot/compass/PointerNeedleTest.java,28,6
./src/test/java/org/jfree/chart/plot/compass/ShipNeedleTest.java,28,6
./src/test/java/org/jfree/chart/plot/compass/WindNeedleTest.java,28,6
./src/test/java/org/jfree/data/general/DefaultKeyedValues2DDatasetTest.java,28,4
./src/test/java/org/jfree/data/general/DefaultKeyedValuesDatasetTest.java,28,4
./src/test/java/org/jfree/chart/axis/CategoryLabelWidthTypeTest.java,29,6
./src/test/java/org/jfree/chart/axis/CategoryAnchorTest.java,30,9
./src/test/java/org/jfree/chart/internal/CloneUtilsTest.java,30,5
./src/test/java/org/jfree/chart/axis/DateTickMarkPositionTest.java,31,10
./src/test/java/org/jfree/chart/axis/AxisLocationTest.java,32,8
./src/test/java/org/jfree/chart/plot/compass/ArrowNeedleTest.java,32,8
./src/test/java/org/jfree/data/statistics/MeanAndStandardDeviationTest.java,32,8
./src/test/java/org/jfree/data/time/TimeSeriesDataItemTest.java,32,6
./src/test/java/org/jfree/data/xy/XYDataItemTest.java,32,8
./src/test/java/org/jfree/chart/axis/TickUnitsTest.java,33,6
./src/test/java/org/jfree/data/statistics/HistogramBinTest.java,33,5
./src/test/java/org/jfree/data/time/TimePeriodValueTest.java,34,7
./src/test/java/org/jfree/data/flow/FlowKeyTest.java,35,10
./src/test/java/org/jfree/data/flow/NodeKeyTest.java,35,10
./src/test/java/org/jfree/data/function/PowerFunction2DTest.java,35,7
./src/test/java/org/jfree/data/xy/YIntervalTest.java,35,9
./src/test/java/org/jfree/data/xy/YWithXIntervalTest.java,35,9
./src/test/java/org/jfree/chart/renderer/category/StandardBarPainterTest.java,36,6
./src/test/java/org/jfree/chart/renderer/xy/StandardXYBarPainterTest.java,36,6
./src/test/java/org/jfree/data/DomainOrderTest.java,36,15
./src/test/java/org/jfree/data/function/LineFunction2DTest.java,36,7
./src/test/java/org/jfree/data/RangeTypeTest.java,36,15
./src/test/java/org/jfree/data/time/FixedMillisecondTest.java,36,5
./src/test/java/org/jfree/chart/block/BlockContainerTest.java,38,10
./src/test/java/org/jfree/chart/PieChartTest.java,38,2
./src/test/java/org/jfree/chart/labels/CustomXYItemLabelGeneratorTest.java,39,5
./src/test/java/org/jfree/chart/plot/dial/AbstractDialLayerTest.java,39,11
./src/test/java/org/jfree/chart/title/TitleTest.java,39,11
./src/test/java/org/jfree/chart/axis/ModuloAxisTest.java,40,9
./src/test/java/org/jfree/chart/swing/CrosshairOverlayTest.java,40,6
./src/test/java/org/jfree/chart/title/ShortTextTitleTest.java,40,9
./src/test/java/org/jfree/chart/axis/NumberTickUnitTest.java,41,9
./src/test/java/org/jfree/chart/renderer/xy/WindItemRendererTest.java,41,8
./src/test/java/org/jfree/data/time/MovingAverageTest.java,41,8
./src/test/java/org/jfree/data/xy/VectorTest.java,41,10
./src/test/java/org/jfree/data/xy/XYCoordinateTest.java,41,10
./src/test/java/org/jfree/chart/block/EmptyBlockTest.java,42,10
./src/test/java/org/jfree/data/function/NormalDistributionFunction2DTest.java,42,7
./src/test/java/org/jfree/chart/labels/SymbolicXYItemLabelGeneratorTest.java,43,9
./src/test/java/org/jfree/chart/plot/MeterIntervalTest.java,43,6
./src/test/java/org/jfree/data/time/DateRangeTest.java,43,10
./src/test/java/org/jfree/data/xy/XYIntervalTest.java,43,13
./src/test/java/org/jfree/chart/axis/AxisSpaceTest.java,44,14
./src/test/java/org/jfree/chart/block/BlockBorderTest.java,44,8
./src/test/java/org/jfree/chart/entity/TickLabelEntityTest.java,44,11
./src/test/java/org/jfree/chart/plot/compass/MeterNeedleTest.java,44,15
./src/test/java/org/jfree/chart/renderer/category/DefaultCategoryItemRendererTest.java,44,8
./src/test/java/org/jfree/chart/renderer/DefaultPolarItemRendererTest.java,44,11
./src/test/java/org/jfree/chart/renderer/OutlierTest.java,44,13
./src/test/java/org/jfree/chart/entity/FlowEntityTest.java,45,14
./src/test/java/org/jfree/data/general/DefaultKeyedValueDatasetTest.java,45,11
./src/test/java/org/jfree/chart/api/RectangleAlignmentTest.java,46,12
./src/test/java/org/jfree/chart/renderer/category/GradientBarPainterTest.java,46,12
./src/test/java/org/jfree/chart/renderer/xy/DeviationRendererTest.java,46,11
./src/test/java/org/jfree/chart/renderer/xy/DeviationStepRendererTest.java,46,11
./src/test/java/org/jfree/chart/renderer/xy/GradientXYBarPainterTest.java,46,12
./src/test/java/org/jfree/chart/renderer/xy/VectorRendererTest.java,47,11
./src/test/java/org/jfree/data/time/ohlc/OHLCTest.java,48,13
./src/test/java/org/jfree/chart/axis/SymbolAxisTest.java,50,16
./src/test/java/org/jfree/chart/block/LineBorderTest.java,50,10
./src/test/java/org/jfree/chart/entity/CategoryLabelEntityTest.java,50,13
./src/test/java/org/jfree/chart/axis/MarkerAxisBandTest.java,51,14
./src/test/java/org/jfree/chart/urls/CustomPieURLGeneratorTest.java,51,9
./src/test/java/org/jfree/chart/entity/StandardEntityCollectionTest.java,52,9
./src/test/java/org/jfree/data/xy/MatrixSeriesCollectionTest.java,52,10
./src/test/java/org/jfree/chart/block/ColumnArrangementTest.java,53,12
./src/test/java/org/jfree/chart/block/FlowArrangementTest.java,53,12
./src/test/java/org/jfree/chart/entity/LegendItemEntityTest.java,53,15
./src/test/java/org/jfree/chart/text/format/LogFormatTest.java,53,15
./src/test/java/org/jfree/data/KeyedObjectTest.java,53,16
./src/test/java/org/jfree/data/xy/VectorDataItemTest.java,53,16
./src/test/java/org/jfree/data/xy/XIntervalDataItemTest.java,53,18
./src/test/java/org/jfree/data/xy/YIntervalDataItemTest.java,53,18
./src/test/java/org/jfree/data/statistics/SimpleHistogramDatasetTest.java,54,12
./src/test/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGeneratorTest.java,55,12
./src/test/java/org/jfree/chart/title/DateTitleTest.java,55,15
./src/test/java/org/jfree/chart/urls/StandardCategoryURLGeneratorTest.java,55,13
./src/test/java/org/jfree/chart/labels/HighLowItemLabelGeneratorTest.java,56,13
./src/test/java/org/jfree/chart/LegendItemCollectionTest.java,56,9
./src/test/java/org/jfree/chart/plot/PlotRenderingInfoTest.java,56,18
./src/test/java/org/jfree/data/xy/IntervalXYDelegateTest.java,56,12
./src/test/java/org/jfree/chart/entity/XYItemEntityTest.java,57,15
./src/test/java/org/jfree/data/flow/DefaultFlowDatasetTest.java,57,14
./src/test/java/org/jfree/data/gantt/TaskSeriesTest.java,57,13
./src/test/java/org/jfree/chart/block/ColorBlockTest.java,58,14
./src/test/java/org/jfree/chart/labels/MultipleXYSeriesLabelGeneratorTest.java,58,15
./src/test/java/org/jfree/chart/plot/pie/PieLabelRecordTest.java,58,18
./src/test/java/org/jfree/chart/imagemap/ImageMapUtilsTest.java,59,17
./src/test/java/org/jfree/chart/urls/StandardPieURLGeneratorTest.java,59,15
./src/test/java/org/jfree/chart/plot/dial/StandardDialRangeTest.java,60,17
