class,WMC,TASSERT
./src/test/java/org/jfree/chart/internal/ArgsTest.java,7,2
./src/test/java/org/jfree/chart/MeterChartTest.java,7,1
./src/test/java/org/jfree/chart/axis/AxisSpaceTest.java,7,14
./src/test/java/org/jfree/chart/plot/compass/MeterNeedleTest.java,7,15
./src/test/java/org/jfree/chart/api/RectangleAlignmentTest.java,7,12
./src/test/java/org/jfree/chart/block/RectangleConstraintTest.java,7,18
./src/test/java/org/jfree/chart/internal/SerialUtilsTest.java,7,3
./src/test/java/org/jfree/chart/axis/AxisTest.java,7,57
./src/test/java/org/jfree/chart/annotations/XYImageAnnotationTest.java,8,10
./src/test/java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGeneratorTest.java,8,2
./src/test/java/org/jfree/chart/imagemap/StandardURLTagFragmentGeneratorTest.java,8,3
./src/test/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGeneratorTest.java,8,2
./src/test/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGeneratorTest.java,8,2
./src/test/java/org/jfree/chart/internal/HashUtilsTest.java,8,2
./src/test/java/org/jfree/chart/labels/ItemLabelAnchorTest.java,8,3
./src/test/java/org/jfree/chart/labels/ItemLabelPositionTest.java,8,2
./src/test/java/org/jfree/data/time/TimePeriodAnchorTest.java,8,4
./src/test/java/org/jfree/chart/axis/StandardTickUnitSourceTest.java,8,2
./src/test/java/org/jfree/chart/urls/StandardXYURLGeneratorTest.java,8,2
./src/test/java/org/jfree/chart/labels/StandardFlowLabelGeneratorTest.java,8,3
./src/test/java/org/jfree/data/statistics/BoxAndWhiskerItemTest.java,8,3
./src/test/java/org/jfree/data/xy/OHLCDataItemTest.java,8,4
./src/test/java/org/jfree/chart/axis/DateTickUnitTest.java,8,4
./src/test/java/org/jfree/data/general/DefaultKeyedValues2DDatasetTest.java,8,4
./src/test/java/org/jfree/data/general/DefaultKeyedValuesDatasetTest.java,8,4
./src/test/java/org/jfree/chart/plot/compass/LineNeedleTest.java,8,6
./src/test/java/org/jfree/chart/plot/compass/LongNeedleTest.java,8,6
./src/test/java/org/jfree/chart/plot/compass/MiddlePinNeedleTest.java,8,6
./src/test/java/org/jfree/chart/plot/compass/PinNeedleTest.java,8,6
./src/test/java/org/jfree/chart/plot/compass/PlumNeedleTest.java,8,6
./src/test/java/org/jfree/chart/plot/compass/PointerNeedleTest.java,8,6
./src/test/java/org/jfree/chart/plot/compass/ShipNeedleTest.java,8,6
./src/test/java/org/jfree/chart/plot/compass/WindNeedleTest.java,8,6
./src/test/java/org/jfree/chart/axis/CategoryLabelWidthTypeTest.java,8,6
./src/test/java/org/jfree/chart/axis/CategoryAnchorTest.java,8,9
./src/test/java/org/jfree/chart/axis/DateTickMarkPositionTest.java,8,10
./src/test/java/org/jfree/data/time/TimeSeriesDataItemTest.java,8,6
./src/test/java/org/jfree/chart/plot/compass/ArrowNeedleTest.java,8,8
./src/test/java/org/jfree/data/statistics/MeanAndStandardDeviationTest.java,8,8
./src/test/java/org/jfree/data/xy/XYDataItemTest.java,8,8
./src/test/java/org/jfree/data/statistics/HistogramBinTest.java,8,5
./src/test/java/org/jfree/chart/axis/TickUnitsTest.java,8,6
./src/test/java/org/jfree/data/time/TimePeriodValueTest.java,8,7
./src/test/java/org/jfree/data/xy/YIntervalTest.java,8,9
./src/test/java/org/jfree/data/xy/YWithXIntervalTest.java,8,9
./src/test/java/org/jfree/data/flow/FlowKeyTest.java,8,10
./src/test/java/org/jfree/data/flow/NodeKeyTest.java,8,10
./src/test/java/org/jfree/chart/renderer/category/StandardBarPainterTest.java,8,6
./src/test/java/org/jfree/chart/renderer/xy/StandardXYBarPainterTest.java,8,6
./src/test/java/org/jfree/chart/block/BlockContainerTest.java,8,10
./src/test/java/org/jfree/chart/labels/CustomXYItemLabelGeneratorTest.java,8,5
./src/test/java/org/jfree/chart/plot/dial/AbstractDialLayerTest.java,8,11
./src/test/java/org/jfree/chart/title/TitleTest.java,8,11
./src/test/java/org/jfree/chart/axis/ModuloAxisTest.java,8,9
./src/test/java/org/jfree/chart/title/ShortTextTitleTest.java,8,9
./src/test/java/org/jfree/data/time/MovingAverageTest.java,8,8
./src/test/java/org/jfree/chart/axis/NumberTickUnitTest.java,8,9
./src/test/java/org/jfree/data/xy/VectorTest.java,8,10
./src/test/java/org/jfree/data/xy/XYCoordinateTest.java,8,10
./src/test/java/org/jfree/chart/block/EmptyBlockTest.java,8,10
./src/test/java/org/jfree/chart/plot/MeterIntervalTest.java,8,6
